"","ewp_name","risk.2025and2026.from2024","rank.2025and2026.from2025","risk.2025only.from2024","riskrank.2025only.from2024","risk.2024and2025.from2023","rank.2024and2025.from2023","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"11","Ethiopia",0.05127,11,0.03452,7,0.06355,8,0,1,0,1,0,0,1,1,1,3,0,0.271,0,0,1,1,0.685,26.98,4.58,5.647,0.783,0,0,0,0,0,0,0,11.46,0,1.585,5,0,0,1,4097000,2024,7.409,1,530
"12","Niger",0.04842,12,0.02966,12,0.03783,20,0,0,0,0,0,1,0,0,2,4,0,0.788,0,0,0,1,1.076,24.69,4.922,7.953,0.666,0,0,0,0,0,0,1,9.855,1,0,0,0,0,0,4097000,2024,6.022,1,436
"13","Democratic Republic of Congo",0.04668,13,0.02834,13,0.0481,13,1,0,0,0,0,0,1,0,1,3,0,0.725,0,0,1,1,-0.722,26.7,3.272,6.973,0.7,0.02,0,0,0,0,0,1,10.04,0,1,6,0,0,1,4097000,2024,6.022,1,490
"14","Indonesia",0.04565,14,0.02118,18,0.04724,14,0,0,0,0,0,1,0,0,1,3,0,0.65,0,0,0,1,-0.327,28.08,4.179,4.072,0.803,0,0,1,0,0,0,0,5.858,0,0,5,0,0,1,4097000,2024,6.248,1,850
"15","Iran",0.04443,15,0.02284,16,0.04273,16,0,0,1,1,0,1,0,1,1,1,0,0.295,1,0,1,1,0.271,26.45,1.961,3.024,0.743,0.1545,0,0,0,1,0,0,6.833,0,0,2,0,0,1,4097000,2024,7.707,1,630
"16","Mali",0.04278,16,0.03044,11,0.04376,15,0,0,0,1,0,0,1,0,2,3,0,0.725,0,0,1,0,1.255,24.55,1.961,7.742,0.852,0,0,0,0,0,0,1,9.983,1,0,0,0,0,0,4097000,2024,6.022,1,432
"17","Cambodia",0.03965,17,0.01659,26,0.04171,17,0,0,0,1,0,1,0,1,1,3,1,0.286,0,0,1,1,-1.09,24.07,4.724,4.316,0.158,0.008,0,1,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,6.17,1,811
"18","Bangladesh",0.03857,18,0.01737,24,0.05395,12,0,0,0,1,0,1,0,0,0,3,0,0.418,0,1,1,0,-1.432,27.37,2.965,4.107,0.025,0.112,0,0,1,0,0,0,0,1,0,2,0,0,1,4097000,2024,5.755,1,771
"19","Iraq",0.03729,19,0.02078,19,0.03814,19,1,0,0,1,0,1,0,0,1,3,0,0.454,0,0,1,1,-0.037,25.46,-3.615,4.321,0.446,0,0,0,0,1,0,0,7.768,0,1,6,0,0,1,4097000,2024,6.539,1,645
"20","Syria",0.03625,20,0.02188,17,0.02343,40,1,0,0,1,0,1,0,1,1,1,0,0.074,1,0,1,1,-1.621,24.56,-5.949,3.933,0.213,0,0,0,0,1,0,0,11.08,0,1.585,3,0,0,1,4097000,2024,6.304,1,652
"21","Philippines",0.03557,21,0.02046,21,0.0386,18,1,0,0,0,0,0,1,1,1,4,0,0.625,0,0,1,1,-0.988,26.79,4.823,4.455,0.807,0,0,1,0,0,0,1,7.468,0,1,4,0,0,1,4097000,2024,6.304,1,840
"22","Mozambique",0.03445,22,0.02066,20,0.03568,22,0,0,0,1,0,0,1,0,1,4,0,0.537,0,0,1,0,1.118,25.05,-1.079,6.981,0.69,0,0,0,0,0,0,0,7.248,0,0,1,0,0,1,4097000,2024,5.644,1,541
"23","Somalia",0.03369,23,0.02313,15,0.03611,21,1,0,1,1,0,0,1,0,1,1,0,0.671,0,0,1,0,-0.129,24.18,0.4142,8.098,0.222,0,0,0,0,0,0,1,11.17,0,1,3,0,0,1,4097000,2024,6.022,1,520
"24","Russia",0.03366,24,0.0182,23,0.03456,24,0,0,0,1,0,1,0,0,1,2,0,0.272,0,0,1,1,-1.446,27.1,3.894,2.057,0.376,0.0032,0,0,0,0,1,1,6.358,0,0,2,0,0,1,4097000,2024,7.707,1,365
"25","Turkey",0.03216,25,0.01928,22,0.0347,23,0,0,0,1,0,0,1,0,0,2,0,0.193,0,0,1,1,0.293,26.35,2.952,3.097,0.521,0.1866,0,0,0,0,1,1,7.714,0,0,1,0,0,1,4097000,2024,7.707,1,640
"26","Angola",0.02804,26,0.01525,27,0.02492,35,0,0,0,1,0,0,1,1,1,3,0,0.677,0,0,0,1,-0.327,25.18,1.293,6.906,0.779,0,0,0,0,0,0,1,4.7,0,0,1,0,0,1,4097000,2024,5.644,1,540
"27","Republic of Congo",0.02783,27,0.0139,30,0.01738,49,0,0,0,1,0,0,1,0,1,3,1,0.17,0,0,1,1,-0.151,22.59,0.1488,5.291,0.704,0,0,0,0,0,0,1,0,0,0,3,0,0,1,4097000,2024,6.022,1,484
"28","China",0.02765,28,0.01359,32,0.02798,30,0,0,0,1,1,0,0,1,1,0,0,0.086,1,0,1,1,-0.066,30.39,5.107,2.526,0.19,0.0134,0,1,0,0,0,0,0,0,0,3,0,0,1,4097000,2024,7.707,1,710
"29","South Sudan",0.02731,29,0.01401,29,0.02834,28,1,0,0,1,0,0,1,1,1,3,0,0.202,1,0,1,1,-1.123,23.51,-9.769,7.948,0.73,0.04,0,0,0,0,0,0,0,0,1.585,1,0,0,1,4097000,2024,3.807,1,626
"30","Thailand",0.02686,30,0.01478,28,0.02737,32,0,0,0,1,0,0,1,1,1,4,0,0.543,0,0,1,1,-0.132,26.09,2.575,2.807,0.352,0.05,0,1,0,0,0,0,5.17,0,0,1,0,0,1,4097000,2024,7.707,1,800
"31","Tajikistan",0.02661,31,0.01259,36,0.02858,27,0,0,0,1,0,1,0,1,1,1,0,0.029,0,0,1,1,-1.845,23.34,6.341,4.582,0.367,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4097000,2024,5.087,1,702
"32","Egypt",0.02658,32,0.01313,35,0.02878,26,0,0,0,1,0,1,0,0,1,2,0,0.202,0,0,1,0,0.23,26.8,0.6396,3.629,0.041,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4097000,2024,6.687,1,651
"33","Laos",0.02649,33,0.01326,34,0.02734,33,0,0,0,1,1,0,0,1,1,2,1,0.032,0,0,1,1,0.003,22.89,2.852,5.506,0.634,0.08,0,1,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,6.248,1,812
"34","Uganda",0.02636,34,0.01335,33,0.02802,29,0,0,0,1,0,0,1,1,1,3,0,0.405,0,0,1,1,-0.006,25.58,3.254,5.275,0.883,0.059,0,0,0,0,0,1,0,0,0,3,0,0,1,4097000,2024,5.977,1,500
"35","Central African Republic",0.02622,35,0.01709,25,0.02766,31,1,0,0,1,0,0,1,0,1,4,0,0.3,0,0,1,1,0.637,22.35,-1.856,8.192,0.79,0,0,0,0,0,0,1,7.476,0,1,1,0,0,1,4097000,2024,6.022,1,482
"36","Algeria",0.02416,36,0.01195,37,0.02499,34,0,0,0,1,0,1,0,0,0,1,0,0.531,0,0,1,1,1.812,25.48,1.866,4.133,0.372,0,0,0,0,1,0,1,0,0,0,2,0,0,1,4097000,2024,5.977,1,615
"37","Tanzania",0.02332,37,0.01122,42,0.02392,37,0,0,0,1,0,0,1,0,1,3,0,0.872,0,0,0,0,0.83,26.03,2.081,5.307,0.591,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4097000,2024,6,1,510
"38","Ivory Coast",0.0231,38,0.01139,40,0.02405,36,0,0,0,1,0,0,1,0,1,4,0,0.683,0,0,0,1,0.005,24.93,3.4,7.131,0.731,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6.022,1,437
"39","Eritrea",0.02255,39,0.01144,39,0.02305,42,0,0,1,1,1,0,0,1,1,1,1,0.043,0,0,1,1,0.49,21.75,6.748,5.096,0.659,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,4097000,2024,5,1,531
"40","Burundi",0.02248,40,0.01187,38,0.02318,41,0,0,0,1,0,1,0,1,1,4,1,0.189,0,1,1,1,0.756,23.74,0.8494,5.899,0.308,0,0,0,0,0,0,0,5.931,0,0,2,0,0,1,4097000,2024,5.977,1,516
"41","Nepal",0.02198,41,0.0113,41,0.02349,38,0,0,0,0,0,0,1,0,1,3,0,0.796,0,0,0,0,1.68,24.82,3.818,4.543,0.86,0,0,0,1,0,0,1,0,0,0,2,0,0,1,4097000,2024,7.707,1,790
"42","Cameroon",0.02162,42,0.01388,31,0.02347,39,0,0,0,1,0,0,1,1,1,4,0,0.716,0,0,1,1,-0.301,24.8,0.9972,6.791,0.86,0,0,0,0,0,0,1,7.858,0,0,0,0,0,0,4097000,2024,6,1,471
"43","South Africa",0.02124,43,0.01083,45,0.02282,43,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,1.3,25.93,-0.6691,4.782,0.856,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6.845,1,560
"44","Kenya",0.02033,44,0.01118,43,0.02141,44,0,0,0,0,0,0,1,0,1,4,0,0.924,0,0,0,1,0.21,25.75,2.471,5.388,0.855,0.06,0,0,0,0,0,0,5.728,0,0,0,0,0,0,4097000,2024,5.954,1,501
"45","Sierra Leone",0.01954,45,0.01031,46,0.01991,46,0,0,0,0,0,0,1,0,1,4,0,0.881,0,0,0,0,1.048,23.04,1.816,8.398,0.801,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6,1,451
"46","Malawi",0.01856,46,0.009591,49,0.02014,45,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,0.359,24.37,-0.7631,5.362,0.791,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,5.931,1,553
"47","Liberia",0.01842,47,0.009338,50,0.01859,47,0,0,0,0,0,0,1,0,1,4,0,0.942,0,0,0,0,1.123,22.42,2.556,7.42,0.889,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,7.476,1,450
"48","Democratic Republic of Vietnam",0.01833,48,0.009807,48,0.01846,48,0,0,0,1,1,0,0,1,1,1,0,0.268,0,0,1,1,1.149,26.59,6.417,3.831,0.263,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,6.15,1,816
"49","Sri Lanka",0.01775,49,0.009077,52,0.008961,74,0,0,0,0,0,0,1,0,1,4,0,0.923,0,0,0,1,0.962,24.39,5.588,2.231,0.323,0.11,0,0,1,0,0,1,0,0,0,4,0,0,1,4097000,2024,6.267,1,780
"50","Haiti",0.0163,50,0.01093,44,0.01253,61,0,0,0,0,0,0,1,1,1,4,0,0.675,1,0,1,1,-0.883,23.49,-5.27,6.651,0.105,0,1,0,0,0,0,0,7.6,0,0,2,0,0,1,4097000,2024,6.508,1,41
"51","Gabon",0.01603,51,0.008789,53,0.01625,51,0,0,0,1,0,0,1,1,1,4,0,0.947,0,0,0,1,0.747,21.28,1.178,5.166,0.789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4097000,2024,5.907,1,481
"52","Zimbabwe",0.0158,52,0.007729,54,0.01724,50,0,0,0,1,0,0,1,1,1,4,1,0.238,0,1,1,1,-0.547,23.99,0.2289,5.674,0.415,0.01,0,0,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,5.907,1,552
"53","Togo",0.01571,53,0.00995,47,0.01539,53,0,0,0,1,0,0,1,0,1,4,0,0.343,0,0,1,0,-0.767,23.18,2.966,6.368,0.88,0,0,0,0,0,0,1,5.555,0,0,0,0,0,0,4097000,2024,6.022,1,461
"54","Libya",0.01494,54,0.007577,55,0.01586,52,0,0,1,1,0,1,0,0,1,1,0,0.44,0,0,0,1,-0.03,22.82,-1.621,3.483,0.259,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4097000,2024,6.209,1,620
"55","Colombia",0.01382,55,0.00912,51,0.01331,57,0,0,0,0,0,0,1,0,1,4,0,0.687,0,0,0,1,0.522,25.66,0.6564,3.092,0.639,0,1,0,0,0,0,1,7.82,0,0,2,0,0,1,4097000,2024,7.607,1,100
"56","Equatorial Guinea",0.01338,56,0.007256,57,0.01367,55,0,0,1,1,0,1,0,1,1,3,0,0.302,0,0,1,1,-1.013,20.85,-1.49,7.197,0.35,0.115,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.833,1,411
"57","Morocco",0.01305,57,0.00728,56,0.0137,54,0,0,0,1,0,0,1,0,2,2,0,0.659,0,0,1,1,-0.899,25.18,2.338,3.716,0.566,0.016,0,0,0,1,0,1,0,0,0,0,0,0,0,4097000,2024,6.109,1,600
"58","Madagascar",0.01302,58,0.006894,59,0.01367,56,0,0,0,0,0,0,1,0,1,4,0,0.669,0,0,0,1,-0.562,24.93,1.693,6.646,0.194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,6.022,1,580
"59","Mauritania",0.0129,59,0.00618,66,0.01308,59,0,0,0,0,0,1,0,1,1,1,0,0.579,1,0,0,1,-0.831,22.3,2.209,5.444,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,6.022,1,435
"60","Rwanda",0.01274,60,0.007094,58,0.03206,25,0,0,0,1,0,1,0,1,1,3,0,0.154,0,1,1,1,-0.423,23.77,6.583,5.142,0.28,0,0,0,0,0,0,0,5.492,0,0,4,0,0,1,4097000,2024,5.977,1,517
"61","Bahrain",0.01246,61,0.00621,64,0.01281,60,0,0,0,1,0,1,0,1,1,2,0,0.25,1,0,1,1,-1.769,20.6,2.264,2.274,0.582,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0,4097000,2024,5.755,1,692
"62","Zambia",0.01195,62,0.006619,61,0.01226,62,0,0,0,0,0,0,1,0,1,4,0,0.9,0,0,0,0,1.041,24.35,1.158,6.112,0.706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.931,1,551
"63","Ukraine",0.01185,63,0.005708,68,0.0119,63,0,0,0,1,0,1,0,0,1,2,0,0.579,0,0,0,0,-1.023,25.17,15.22,2.25,0.37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,369
"64","Nicaragua",0.01142,64,0.006494,62,0.01152,64,0,0,0,1,1,0,0,1,0,1,1,0.006,1,0,1,1,-1.626,22.72,2.202,3.296,0.544,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4097000,2024,7.531,1,93
"65","Uzbekistan",0.0113,65,0.006736,60,0.01146,65,0,0,0,1,1,0,0,1,1,2,0,0.466,0,0,1,1,-0.125,25.12,4.422,3.493,0.313,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,704
"66","Peru",0.01104,66,0.006445,63,0.01005,67,0,0,0,0,0,0,1,0,1,4,0,0.675,0,0,1,1,0.394,25.03,2.18,3.171,0.618,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,7.651,1,135
"67","North Korea",0.01055,67,0.005667,69,0.01086,66,1,0,1,1,1,0,0,1,1,0,1,0.018,0,1,1,1,-1.205,24.66,-0.3964,3.65,0.02,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4097000,2024,6.267,1,731
"68","Senegal",0.01043,68,0.005794,67,0.0133,58,0,0,0,0,0,0,1,0,1,4,0,0.79,0,0,0,0,1.306,24.14,4.44,4.814,0.747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,6.022,1,433
"69","Namibia",0.01007,69,0.005356,71,0.008234,78,0,0,0,0,0,1,0,0,1,4,0,0.894,0,0,0,1,0.582,21.53,1.417,5.172,0.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.129,1,565
"70","Brazil",0.009525,70,0.0051,74,0.009526,69,0,0,0,0,0,0,1,0,1,4,0,0.914,0,0,0,0,0.521,27.66,2.977,3.458,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,7.665,1,140
"71","Bosnia and Herzegovina",0.009421,71,0.005373,70,0.009609,68,0,0,0,0,0,0,1,0,1,4,0,0.711,0,0,0,1,0.816,21.59,3.154,2.206,0.637,0.01,0,0,0,0,1,1,0,0,0,0,0,0,1,4097000,2024,5.044,1,346
"72","Georgia",0.009406,72,0.005208,73,0.004163,113,0,0,0,0,0,0,1,0,1,3,0,0.668,0,0,0,1,0.834,21.81,10.67,2.595,0.367,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4097000,2024,5.087,1,372
"73","United States of America",0.009279,73,0.004985,77,0.009292,71,0,0,0,0,0,0,1,0,1,4,0,0.89,0,0,0,0,0.635,28.34,1.797,2.224,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,7.707,1,2
"74","Djibouti",0.009082,74,0.004811,79,0.00923,72,0,0,0,1,0,1,0,0,1,3,0,0.524,0,0,0,1,-0.366,20.16,4.523,5.955,0.649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.585,1,522
"75","Argentina",0.009071,75,0.005341,72,0.00876,76,0,0,0,0,0,0,1,0,1,4,0,0.853,0,0,0,0,0.704,25.45,-2.058,2.981,0.158,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,7.707,1,160
"76","Bhutan",0.009028,76,0.00502,75,0.0038,121,0,0,0,0,0,0,1,0,1,2,0,0.734,0,0,0,0,1.128,19.59,4.153,4.282,0.651,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,4097000,2024,6.248,1,760
"77","Venezuela",0.009023,77,0.005001,76,0.008695,77,0,0,0,1,0,1,0,1,1,3,0,0.181,0,0,1,1,0.06,24.76,6.472,3.85,0.52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.615,1,101
"78","Jordan",0.009021,78,0.004678,80,0.009164,73,0,0,0,1,0,0,1,1,1,3,0,0.707,0,1,0,1,0.795,23.46,1.481,3.38,0.044,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,4097000,2024,6.267,1,663
"79","Lebanon",0.008913,79,0.004818,78,0.009441,70,0,0,0,0,0,0,1,0,1,4,0,0.736,0,0,0,1,-0.514,22.47,-1.259,3.919,0.133,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,4097000,2024,6.34,1,660
"80","Israel",0.007959,80,0.006194,65,0.008049,79,0,0,0,1,0,0,1,0,1,4,0,0.824,0,1,0,0,0.687,23.25,-0.3962,1.714,0.376,0.43,0,0,0,1,0,0,14.66,0,0,0,0,0,0,4097000,2024,6.267,1,666
"81","Mexico",0.007916,81,0.004464,84,0.008012,81,0,0,0,1,0,0,1,0,0,4,0,0.803,0,0,0,1,0.694,26.96,0.5848,3.215,0.587,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.672,1,70
"82","Botswana",0.007859,82,0.004537,83,0.008014,80,0,0,0,0,0,0,1,0,1,4,0,0.856,0,0,0,0,0.346,21.27,-4.563,5.27,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,5.883,1,571
"83","United Arab Emirates",0.007767,83,0.004653,81,0.00781,82,0,0,0,1,1,0,0,1,1,3,0,0.367,0,0,1,1,-0.745,23.37,0.01037,2.243,0.684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4097000,2024,5.755,1,696
"84","El Salvador",0.007505,84,0.004539,82,0.00747,83,0,0,0,1,0,0,1,0,0,4,0,0.381,0,0,1,1,-0.458,22.6,2.14,3.055,0.165,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4097000,2024,7.531,1,92
"85","Guinea-Bissau",0.007403,85,0.004459,85,0.007401,84,0,0,0,1,0,0,1,1,1,4,0,0.806,0,1,0,1,-0.23,21.07,2.527,6.937,0.808,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4097000,2024,5.672,1,404
"86","Comoros",0.007023,86,0.004351,87,0.007133,86,0,0,0,1,0,0,1,0,1,2,0,0.273,0,0,1,0,1.254,19.73,1.451,5.979,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,5.644,1,581
"87","Kazakhstan",0.007023,87,0.003838,90,0.007252,85,0,0,0,1,0,1,0,1,1,3,0,0.486,0,1,1,1,-0.721,24.3,3.464,2.587,0.538,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,705
"88","Papua New Guinea",0.006978,88,0.003815,91,0.006866,87,0,0,0,0,0,0,1,0,1,4,0,0.829,0,1,0,0,0.376,23.33,2.256,5.629,0.27,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4097000,2024,5.644,1,910
"89","Benin",0.00667,89,0.004448,86,0.006328,91,0,0,0,0,0,0,1,0,1,4,0,0.847,0,1,0,0,0.675,23.79,4.84,7.18,0.764,0,0,0,0,0,0,1,6.285,0,0,0,0,0,0,4097000,2024,6.022,1,434
"90","Eswatini",0.006563,90,0.00418,88,0.006517,89,0,0,1,1,1,0,0,1,1,3,0,0.069,0,0,1,1,0.304,20.25,1.624,6.083,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,5.7,1,572
"91","Azerbaijan",0.0063,91,0.003721,92,0.00888,75,0,0,0,1,0,0,1,1,1,2,0,0.34,0,1,1,1,-1.685,23.28,3.573,3.764,0.122,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4097000,2024,5.087,1,373
"92","Guatemala",0.005917,92,0.003556,94,0.006787,88,0,0,0,0,0,0,1,0,1,4,0,0.783,1,0,0,1,0.331,24.13,2.067,4.147,0.511,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.531,1,90
"93","Fiji",0.005889,93,0.00345,96,0.006457,90,0,0,0,0,0,0,1,0,1,4,0,0.775,0,0,0,0,1.07,19.82,3.31,4.03,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,5.781,1,950
"94","South Korea",0.005775,94,0.003329,98,0.005922,92,0,0,0,0,0,0,1,0,1,4,0,0.884,0,1,0,0,0.467,25.63,1.278,1.403,0.095,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6.267,1,732
"95","Canada",0.005745,95,0.003556,93,0.005726,94,0,0,0,0,0,0,1,0,1,4,0,0.915,0,0,0,0,1.165,25.3,-1.435,2.003,0.73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.304,1,20
"96","Moldova",0.005599,96,0.003525,95,0.003079,131,0,0,0,0,0,0,1,0,1,4,0,0.82,0,0,0,0,1.795,21.19,2.973,3.138,0.427,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,359
"97","Bolivia",0.00556,97,0.003852,89,0.002501,147,0,0,0,1,0,0,1,0,1,4,0,0.799,0,1,1,1,1.67,23.57,0.003116,5.571,0.572,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4097000,2024,7.644,1,145
"98","Timor-Leste",0.005456,98,0.003197,101,0.005448,97,0,0,0,0,0,0,1,0,1,4,0,0.876,0,1,0,0,0.538,20.42,-3.331,6.023,0.802,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4097000,2024,4.524,1,860
"99","Ecuador",0.005447,99,0.003368,97,0.005321,98,0,0,0,0,0,0,1,0,1,4,0,0.874,0,0,0,1,0.242,24.11,-2.841,3.138,0.528,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.607,1,130
"100","Ghana",0.005438,100,0.003203,100,0.005478,96,0,0,0,0,0,0,1,0,2,4,0,0.866,0,1,0,0,0.584,25.04,3.722,5.481,0.736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,6.087,1,452
"101","Kyrgystan",0.005416,101,0.003244,99,0.005655,95,0,0,0,1,0,0,1,0,1,4,0,0.675,0,1,1,1,0.092,22.78,7.156,3.48,0.487,0.138,0,0,1,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,703
"102","Poland",0.005189,102,0.003146,103,0.005069,100,0,0,0,0,0,0,1,0,1,4,0,0.949,0,1,0,0,2.149,25.12,3.297,1.811,0.069,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4097000,2024,6.741,1,290
