"","ewp_name","risk.2025and2026.from2024","rank.2025and2026.from2025","risk.2025only.from2024","riskrank.2025only.from2024","risk.2024and2025.from2023","rank.2024and2025.from2023","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"32","Egypt",0.02552,32,0.01294,33,0.02825,27,0,0,0,1,0,1,0,0,1,2,0,0.202,0,0,0,0,0.23,26.8,0.6396,3.629,0.041,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4097000,2024,6.687,1,651
"33","Thailand",0.02549,33,0.01354,30,0.02589,34,0,0,0,1,0,0,1,1,1,4,0,0.543,0,0,0,1,-0.132,26.09,2.575,2.807,0.352,0.05,0,1,0,0,0,0,5.17,0,0,1,0,0,1,4097000,2024,7.707,1,800
"34","Uganda",0.02487,34,0.01215,39,0.02638,32,0,0,0,1,0,0,1,1,1,3,0,0.405,0,0,0,1,-0.006,25.58,3.254,5.275,0.883,0.059,0,0,0,0,0,1,0,0,0,3,0,0,1,4097000,2024,5.977,1,500
"35","Central African Republic",0.02473,35,0.01599,27,0.0261,33,1,0,0,1,0,0,1,0,1,4,0,0.3,0,0,0,1,0.637,22.35,-1.856,8.192,0.79,0,0,0,0,0,0,1,7.476,0,1,1,0,0,1,4097000,2024,6.022,1,482
"36","Ivory Coast",0.0246,36,0.01248,36,0.02569,35,0,0,0,1,0,0,1,0,1,4,0,0.683,0,0,0,1,0.005,24.93,3.4,7.131,0.731,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6.022,1,437
"37","Tanzania",0.02411,37,0.01205,40,0.02475,36,0,0,0,1,0,0,1,0,1,3,0,0.872,0,0,0,0,0.83,26.03,2.081,5.307,0.591,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4097000,2024,6,1,510
"38","Algeria",0.02327,38,0.01184,43,0.02406,37,0,0,0,1,0,1,0,0,0,1,0,0.531,0,0,0,1,1.812,25.48,1.866,4.133,0.372,0,0,0,0,1,0,1,0,0,0,2,0,0,1,4097000,2024,5.977,1,615
"39","Eritrea",0.02309,39,0.01216,38,0.02351,41,0,0,1,1,1,0,0,1,1,1,1,0.043,0,0,0,1,0.49,21.75,6.748,5.096,0.659,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,4097000,2024,5,1,531
"40","Burundi",0.02288,40,0.01225,37,0.02348,42,0,0,0,1,0,1,0,1,1,4,1,0.189,0,1,0,1,0.756,23.74,0.8494,5.899,0.308,0,0,0,0,0,0,0,5.931,0,0,2,0,0,1,4097000,2024,5.977,1,516
"41","Nepal",0.02227,41,0.01188,42,0.02386,40,0,0,0,0,0,0,1,0,1,3,0,0.796,0,0,0,0,1.68,24.82,3.818,4.543,0.86,0,0,0,1,0,0,1,0,0,0,2,0,0,1,4097000,2024,7.707,1,790
